level_1,level_2,level_3,level_4,level_5,radius_mm
deformable,record_250_empty_8,sample_0014,,,21.3
deformable,record_250_empty_8,sample_0015,,,20.8
deformable,record_250_empty_8,sample_0016,,,20.9
deformable,record_250_empty_8,sample_0017,,,20.8
deformable,record_250_empty_8,sample_0018,,,20.3
deformable,record_250_empty_8,sample_0019,,,19.8
deformable,record_250_empty_8,sample_0020,,,18.6
deformable,record_250_empty_8,sample_0021,,,18.7
deformable,record_250_empty_8,sample_0022,,,26.4
deformable,record_250_empty_8,sample_0023,,,19.2
deformable,record_250_empty_8,sample_0024,,,19.9
deformable,record_250_empty_9,sample_0000,,,23.3
deformable,record_250_empty_9,sample_0001,,,21.5
deformable,record_250_empty_9,sample_0002,,,18.8
deformable,record_250_empty_9,sample_0003,,,22.3
deformable,record_250_empty_9,sample_0004,,,19.5
deformable,record_250_empty_9,sample_0005,,,21.3
deformable,record_250_empty_9,sample_0006,,,18.4
deformable,record_250_empty_9,sample_0007,,,18.2
deformable,record_250_empty_9,sample_0008,,,19.2
deformable,record_250_empty_9,sample_0009,,,19.2
deformable,record_250_empty_9,sample_0010,,,18.6
deformable,record_250_empty_9,sample_0011,,,19.0
deformable,record_250_empty_9,sample_0012,,,19.0
deformable,record_250_empty_9,sample_0013,,,24.2
deformable,record_250_empty_9,sample_0014,,,21.2
deformable,record_250_empty_9,sample_0015,,,19.8
deformable,record_250_empty_9,sample_0016,,,19.7
deformable,record_250_empty_9,sample_0017,,,20.1
deformable,record_250_empty_9,sample_0018,,,20.6
deformable,record_250_empty_9,sample_0019,,,21.0
deformable,record_250_empty_9,sample_0020,,,20.6
deformable,record_250_empty_9,sample_0021,,,20.2
deformable,record_250_empty_9,sample_0022,,,19.0
deformable,record_250_empty_9,sample_0023,,,18.0
deformable,record_250_empty_9,sample_0024,,,19.2
deformable,record_330_fat_empty_1,sample_0000,,,70.1
deformable,record_330_fat_empty_1,sample_0001,,,70.6
deformable,record_330_fat_empty_1,sample_0002,,,70.1
deformable,record_330_fat_empty_1,sample_0003,,,70.6
deformable,record_330_fat_empty_1,sample_0004,,,70.1
deformable,record_330_fat_empty_1,sample_0005,,,71.0
deformable,record_330_fat_empty_1,sample_0006,,,71.0
deformable,record_330_fat_empty_1,sample_0007,,,70.1
deformable,record_330_fat_empty_1,sample_0008,,,70.1
deformable,record_330_fat_empty_1,sample_0009,,,71.0
deformable,record_330_fat_empty_1,sample_0010,,,71.0
deformable,record_330_fat_empty_1,sample_0011,,,71.0
deformable,record_330_fat_empty_1,sample_0012,,,71.0
deformable,record_330_fat_empty_1,sample_0013,,,71.0
deformable,record_330_fat_empty_1,sample_0014,,,71.0
deformable,record_330_fat_empty_1,sample_0015,,,70.6
deformable,record_330_fat_empty_1,sample_0016,,,71.8
deformable,record_330_fat_empty_1,sample_0017,,,70.6
deformable,record_330_fat_empty_1,sample_0018,,,71.6
deformable,record_330_fat_empty_1,sample_0019,,,71.2
deformable,record_330_fat_empty_1,sample_0020,,,71.2
deformable,record_330_fat_empty_1,sample_0021,,,69.4
deformable,record_330_fat_empty_1,sample_0022,,,71.2
deformable,record_330_fat_empty_1,sample_0023,,,71.0
deformable,record_330_fat_empty_1,sample_0024,,,70.1
deformable,record_330_fat_empty_1,sample_0025,,,71.0
deformable,record_330_fat_empty_1,sample_0026,,,71.0
deformable,record_330_fat_empty_1,sample_0027,,,71.0
deformable,record_330_fat_empty_1,sample_0028,,,71.0
deformable,record_330_fat_empty_1,sample_0029,,,71.4
deformable,record_330_fat_empty_1,sample_0030,,,71.4
deformable,record_330_fat_empty_10,sample_0000,,,22.9
deformable,record_330_fat_empty_10,sample_0001,,,22.9
deformable,record_330_fat_empty_10,sample_0002,,,25.9
deformable,record_330_fat_empty_10,sample_0003,,,22.5
deformable,record_330_fat_empty_10,sample_0004,,,22.7
